                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.3631,                 1.0792,                 1.3381,                0.79246,                0.58636,                0.67378,                0.32504,                 1.7916,                 1.2087,                 1.6659,              0.0011347,              0.0011347,              0.0011347
                     54,                 1.3551,                  1.073,                  1.343,                 0.7835,                0.58627,                0.67168,                0.31926,                 1.7545,                 1.2568,                 1.6426,              0.0011291,              0.0011291,              0.0011291
                     55,                 1.3406,                 1.0533,                 1.3189,                0.76371,                0.55169,                0.63199,                0.30557,                 1.8064,                 1.3142,                 1.6947,              0.0011234,              0.0011234,              0.0011234
                     56,                 1.3364,                 1.0439,                 1.3169,                 0.7505,                 0.6014,                0.66783,                0.32188,                 1.7983,                 1.2406,                  1.692,              0.0011178,              0.0011178,              0.0011178
                     57,                 1.3425,                 1.0459,                  1.323,                0.74106,                0.59793,                0.66957,                0.31172,                 1.7707,                 1.2547,                 1.6684,              0.0011121,              0.0011121,              0.0011121
                     58,                 1.3401,                 1.0393,                 1.3174,                0.81315,                0.56056,                0.67368,                0.32181,                 1.7879,                 1.2093,                 1.7024,              0.0011064,              0.0011064,              0.0011064
                     59,                 1.3145,                 1.0296,                  1.319,                0.73878,                 0.6175,                 0.6754,                0.32102,                 1.8195,                 1.2236,                 1.7053,              0.0011008,              0.0011008,              0.0011008
                     60,                 1.3383,                 1.0425,                 1.3227,                0.73772,                0.62894,                0.68719,                0.33071,                 1.7704,                 1.2079,                  1.668,              0.0010951,              0.0010951,              0.0010951
                     61,                 1.3131,                 1.0022,                 1.2992,                0.75326,                0.61248,                0.66243,                0.30537,                 1.8303,                 1.2204,                  1.716,              0.0010895,              0.0010895,              0.0010895
                     62,                 1.3142,                 1.0168,                 1.3096,                 0.6985,                0.62549,                 0.6553,                0.31998,                  1.785,                 1.2364,                 1.6456,              0.0010838,              0.0010838,              0.0010838
                     63,                  1.297,                 1.0253,                 1.3084,                0.82392,                0.56595,                0.67456,                 0.3139,                 1.8355,                 1.2162,                 1.6898,              0.0010782,              0.0010782,              0.0010782
                     64,                 1.3238,                  1.019,                 1.3161,                0.78183,                0.59375,                 0.6716,                0.32314,                 1.7336,                 1.2457,                 1.6647,              0.0010725,              0.0010725,              0.0010725
                     65,                 1.3068,                 1.0083,                 1.3078,                0.78039,                0.58373,                0.67738,                0.31561,                 1.7958,                 1.2192,                 1.6991,              0.0010668,              0.0010668,              0.0010668
                     66,                  1.312,                 1.0024,                 1.3112,                0.73985,                0.57592,                0.64129,                0.29562,                 1.8373,                 1.2813,                 1.7066,              0.0010612,              0.0010612,              0.0010612
                     67,                 1.2879,                0.98042,                 1.2884,                0.74191,                0.63057,                0.68329,                0.33184,                 1.7901,                  1.195,                 1.6819,              0.0010555,              0.0010555,              0.0010555
                     68,                 1.2855,                0.96838,                 1.2875,                0.76204,                0.58773,                0.66556,                 0.3067,                 1.8116,                 1.2166,                 1.7043,              0.0010499,              0.0010499,              0.0010499
                     69,                 1.2756,                0.98353,                  1.289,                 0.7311,                0.61895,                0.67278,                 0.3195,                 1.7965,                  1.211,                 1.6929,              0.0010442,              0.0010442,              0.0010442
                     70,                 1.2761,                0.96575,                 1.2953,                0.81307,                0.61622,                0.69655,                0.32677,                 1.7743,                 1.1818,                 1.6675,              0.0010385,              0.0010385,              0.0010385
